,Representation
117,"['shaft', 'wheelie', 'wheelies', 'wheel', 'rear', 'front', 'shaftdrive', 'motorcycle', 'ground', 'bike']"
118,"['abortion', 'women', 'rape', 'abortions', 'choice', 'sexist', 'female', 'men', 'pregnancy', 'maternity']"
119,"['helmet', 'liner', 'foam', 'cb', 'helmets', 'impact', 'bike', 'shoei', 'head', 'mirror']"
120,"['winbench', 'vlb', 'stealth', 'graphite', 'hz', 'card', 'winmarks', 'diamond', 'ati', 'ultra']"
121,"['maxaxaxaxaxaxaxaxaxaxaxaxaxaxax', 'mg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9v', '14', 'm4', 'mp', 'maxaxaxaxaxaxaxaxaxaxaxaxaxaxaxq', 'mw', 'mo', 'm8', 'part']"
122,"['uv', 'leds', 'light', 'blue', 'bulb', 'bulbs', 'fluorescent', 'brightness', 'blinker', 'glow']"
123,"['vote', 'votes', 'voting', 'newsgroup', 'unmoderated', 'creation', 'publishing', 'mischealthdiabetes', 'multimedia', 'topics']"
124,"['oil', 'drain', 'car', 'leaks', 'cars', 'draining', 'bolt', 'plug', 'radiator', 'under']"
125,"['sco', 'newsgroup', 'newsgroups', 'liefting', 'group', 'groups', 'aspects', 'mailing', 'graphics', 'split']"
126,"['lens', 'camera', 'nikon', 'bag', 'zoom', 'pouch', 'flash', 'slr', 'lenses', 'af']"
127,"['celp', 'dsp', 'voice', 'speech', '4800', 'compression', 'bps', 'bfalse', 'v32bis', 'samples']"
128,"['pds', 'nubus', 'lc', 'slot', 'card', 'lciii', 'asante', 'socket', 'cards', 'ethernet']"
129,"['ghostscript', 'postscript', 'pageview', 'ghostview', 'dsc', 'page', 'ow', 'files', 'compliant', 'broken']"
130,"['truth', 'absolute', 'bible', 'absolutes', 'arrogance', 'authority', 'god', 'arrogant', 'ra', 'belief']"
131,"['dial', 'number', 'phone', 'call', 'line', 'al', 'synthesized', 'siggraph', '93', 'rooms']"
132,"['shuttle', 'software', 'elements', 'celestial', '00', 'element', 'process', 'updated', '000000', 'sets']"
133,"['midi', 'driver', 'sound', 'blaster', 'soundblaster', 'play', 'files', 'wav', 'windows', 'file']"
134,"['myers', 'stephanopoulos', 'president', 'ms', 'mr', 'jobs', 'he', 'dee', 'think', 'going']"
135,"['24bit', 'luminosity', 'colors', 'color', 'xv', 'hue', 'image', 'lx', 'saturation', 'images']"
136,"['scope', 'scopes', 'oscilloscope', 'tektronix', 'probes', 'mhz', '205', 'ohm', 'price', 'trace']"
137,"['pope', 'church', 'schism', 'creed', 'father', 'catholic', 'bishop', 'orthodox', 'spirit', 'archbishop']"
138,"['ups', 'weick', 'him', 'stock', 'chaparral', 'dana', 'call', 'send', 'check', 'coupons']"
139,"['nasa', 'funds', 'ssf', 'reston', 'space', 'billion', 'station', 'allen', 'tax', 'research']"
140,"['mode', 'vesa', 'modes', 'vga', 'svga', 'graphics', 'jw', 'memory', 'video', '320x200x256']"
141,"['zane', '2ti', 'book', 'church', 'faith', 'christian', 'christ', 'jesus', 'bible', 'reply']"
142,"['cooling', 'water', 'steam', 'towers', 'plants', 'nuclear', 'fossil', 'temperature', 'plant', 'heat']"
143,"['revolver', 'kratz', 'gun', 'glock', 'safety', 'semiauto', 'trigger', 'semiautos', 'revolvers', 'hammer']"
144,"['dialing', 'tone', 'phone', 'sweden', 'germany', 'wall', 'jacks', 'handle', 'pulse', 'swedish']"
145,"['eye', 'prk', 'rk', 'cornea', 'vision', 'glasses', 'eyeball', 'detachment', 'bates', 'dominance']"
146,"['tomb', 'jesus', 'disciples', 'resurrection', 'body', 'he', 'empty', 'knew', 'lie', 'impact']"
147,"['odometer', 'sensor', 'speedo', 'mileage', 'dash', 'car', 'dealer', 'oxygen', 'replaced', '30k']"
148,"['jim', 'context', 'hypocrite', 'trm', 'articles', 'quotes', 'stephen', 'your', 'fred', 'you']"
149,"['monitor', 'problem', 'apple', 'video', '610', 'centris', 'screen', 'monitors', 'colors', 'scrolling']"
150,"['hb', 'sb', 'firearms', 'committee', 'nra', 'defeated', 'passed', 'vote', 'died', 'mandatory']"
151,"['quoting', 'article', 'dope', '1993apr150242468076virginiaedu', 'j3davidstudentbusinessuwoca', 'jgfootminervacisyaleedu', 'karichaeiscalstateedu', 'insolence', 'may14021136199325219athosrutgersedu', 'mcrcimmcgilledu']"
152,"['space1999', 'space', 'film', 'prototype', 'infinity', 'thunderbirds', 'shows', 'orion', 'ufo', 'was']"
153,"['ms', 'survey', 'microsoft', 'users', 'unix', 'msdos', 'computer', 'abreviations', 'marketing', 'product']"
154,"['heart', 'potassium', 'gauchers', 'disease', 'situs', 'inversus', 'arrhythmias', 'ekg', 'cardiac', 'she']"
155,"['cancer', 'center', 'centers', 'medical', 'research', 'comprehensive', 'melanoma', 'avenue', 'clinical', 'university']"
156,"['image', 'processing', 'analysis', 'tools', 'data', 'plplot', 'tool', 'software', 'images', 'available']"
157,"['keyboard', 'rsi', 'typing', 'exercises', 'pc', 'your', 'wrist', 'posture', 'tool', 'available']"
158,"['sabbath', 'moses', 'tablets', 'commandments', 'ceremonial', 'ten', 'ex', 'discourses', 'worship', 'christians']"
159,"['cview', 'temp', 'directory', 'files', 'disk', 'file', 'floppy', 'dir', 'bit', 'root']"
160,"['colormap', 'colormaps', 'window', 'colors', 'color', 'readonly', 'cells', 'standard', 'clients', 'redmax']"
161,"['tempest', 'monitor', 'equipment', 'emissions', 'crts', 'electromagnetic', 'jiggles', 'laptops', 'emission', 'classified']"
162,"['chemistry', 'paperback', 'book', 'spice', 'guide', 'variational', 'petrucci', 'writing', '02106chopinudeledu', 'kirszner']"
163,"['jacket', 'womens', 'pants', 'clothing', 'pockets', 'piece', 'aerostitch', 'pocket', 'fit', 'leather']"
164,"['stan', 'shalt', 'oo', 'thou', 'christian', 'yourself', 'christianity', 'christ', 'thine', 'shall']"
165,"['kidney', 'stones', 'b6', 'calcium', 'vitamin', 'oxalic', 'magnesium', 'stone', 'acid', 'oxalate']"
166,"['powerpc', 'apple', 'macs', 'dock', 'rocketshare', 'nubus', 'cpu', 'macrescue', 'duo', 'macweek']"
167,"['ground', 'grounding', 'conductor', 'neutral', 'wire', 'connected', 'outlets', 'panel', 'grounded', 'current']"
168,"['easter', 'resurrection', 'pagan', 'goddess', 'celebration', 'passover', 'whore', 'ishtar', 'word', 'feast']"
169,"['sampling', 'filter', 'oversampling', 'rate', 'frequency', 'pcboard', 'interpolation', 'spectrum', 'ad', 'adconverter']"
170,"['flame', 'weaknesses', 'winslow', 'infante', 'posts', 'meme', 'awesley', 'posted', 'flames', 'madison']"
171,"['network', 'windows', 'w4wg', 'files', 'workgroups', 'lan', 'users', 'local', 'novell', 'ndis']"
172,"['carcinogenic', 'meat', 'smoke', 'carcinogens', 'charcoal', 'wood', 'food', 'barbecuing', 'barbecued', 'toxins']"
173,"['windows', 'norton', 'spss', 'autoexecbat', 'desktop', 'ini', 'ndw', 'winini', 'systemini', 'uninstall']"
174,"['blacks', 'african', 'white', 'culture', 'americans', 'black', 'crimes', 'dysfunction', 'gangs', 'school']"
175,"['rosicrucian', 'rosicrucians', 'amorc', 'lectorium', 'crucis', 'order', 'rosicrucianum', 'rosae', 'oto', 'ordo']"
176,"['wasps', 'centipedes', 'chiggers', 'millipedes', 'polish', 'sting', 'centipede', 'skin', 'painful', 'repel']"
177,"['weight', 'fat', 'muscle', 'pills', 'eat', 'adiposity', 'dieting', 'rebound', 'obesity', 'gordon']"
178,"['religion', 'motivated', 'religously', 'religious', 'wars', 'history', 'ireland', 'religiously', 'dogma', 'crusades']"
179,"['card', 'ati', 'orchid', 'cards', 'vga', 's3', 'tseng', 'p9000', 'cirrus', 'miro']"
180,"['machine', 'error', 'register', 'beeps', 'memory', 'chimes', 'ami', 'unlock', 'card', 'simm']"
181,"['clinton', 'screw', 'step', 'bush', 'privacy', 'thread', 'administration', 'democrats', 'threads', 'choosing']"
182,"['sas', 'windows', 'nt', 'fullpath', 'batch', 'dos', 'screen', 'exit', 'lstrcpy', 'job']"
183,"['ca', 'bbs', '818', '805', '408', 'il', 'valley', '310', 'chicago', 'firstclass']"
184,"['ham', 'interference', 'radio', 'watts', 'transmitter', 'rf', 'alternator', 'hams', 'operator', 'fcc']"
185,"['sound', 'stereo', 'soundbase', 'mono', 'mac', 'channel', 'developers', 'hardware', 'speakers', 'play']"
186,"['venus', 'space', 'kilometers', 'vega', 'propulsion', 'soviet', 'venera', 'balloon', 'miles', 'mission']"
187,"['s414', 'bill', 'bills', 'senate', 'brady', 'house', 'ab', 'sb', 'cleo', 'hr1025']"
188,"['son', 'god', 'father', 'holy', 'trinity', 'spirit', 'godhead', 'jesus', 'cf', 'essence']"
189,"['42', 'tea', 'question', 'answer', 'universe', 'alice', '101010', 'number', 'fortytwo', 'peter']"
190,"['8051', 'nextstep', 'hendry', 'assembler', 'signetics', 'microcontroller', 'simulator', 'compiler', 'intel', 'tjhendryqueenmcsdrexeledu']"
191,"['48bit', 'bits', 'bit', 'screen', 'color', 'buffer', 'buffering', 'levels', 'sgis', 'per']"
192,"['plutonium', 'nuclear', 'clancy', 'reactors', 'bomb', 'weapons', 'reactor', 'weapon', 'fuel', 'holland']"
193,"['rights', 'right', 'foa', 'association', 'equal', 'freedom', 'opportunity', 'sky', 'outweighs', 'landlord']"
194,"['ha', 'sheeesh', 'thud', 'okay', 'thanks', 'thread', 'enlightening', 'validation', 'reposting', 'appended']"
195,"['placebo', 'jb', 'rr', 'medicine', 'effect', 'patients', 'treatment', 'diseases', 'alternative', 'medical']"
196,"['recipe', 'taste', 'chocolate', 'crullers', 'crullerian', 'gyros', 'chopped', 'strawberry', 'food', 'tootsie']"
197,"['hate', 'sin', 'love', 'sinner', 'hating', 'our', 'esau', 'loved', 'hatred', 'anger']"
198,"['phone', 'onhook', 'tip', 'ring', 'led', 'lines', 'wires', 'hook', 'volts', 'offhook']"
199,"['needles', 'acupuncture', 'needle', 'syringe', 'hypodermic', 'disposable', 'insertion', 'injected', 'skin', 'aids']"
200,"['playback', 'movie', 'frames', 'quicktime', 'fps', '320240', 'resolution', 'video', '160120', 'arm']"
201,"['alarm', 'sensor', 'alarms', 'viper', 'car', 'shock', 'alpine', 'vecta', 'syclone', 'installed']"
202,"['tires', 'tire', 'fluids', 'brake', 'braking', 'abs', 'car', 'oil', 'manufacturers', 'designation']"
203,"['homosexual', 'cramer', 'men', 'male', 'spreads', 'lesbians', 'lesbian', 'mr', 'aids', 'males']"
204,"['anonymous', 'anonymity', 'encryption', 'posting', 'service', 'anon', 'postings', 'privacy', 'technology', 'security']"
205,"['fonts', 'pi', 'fences', 'subscripts', 'select', '0224', 'spacing', 'iig', 'gary', 'fractions']"
206,"['jupiter', 'comet', 'au', 'gehrels', 'orbit', 'p1e', 'rui', 'temporary', 'peri', 'radii']"
207,"['68070', '68040', 'motorola', 'instruction', '68010', '68000', '68030', 'multiply', 'supra', '32bit']"
208,"['boards', 'solder', 'mask', 'green', 'board', 'ghz', 'fiberglass', 'epoxy', 'material', 'nanaimo']"
209,"['you', 'life', 'my', 'god', 'do', 'kendigianism', 'your', 'believe', 'love', 'me']"
210,"['ik', 'accelerators', 'numlock', 'modifier', 'modifiers', 'xmodmap', 'event', 'key', 'mask', 'plotdata']"
211,"['tongues', 'language', 'speak', 'tounges', 'church', 'angelic', 'tongue', 'spirit', 'speaking', 'pentecostals']"
212,"['crohns', 'inflammation', 'fatty', 'epa', 'colitis', 'recurrence', 'acids', 'fas', 'obstruction', 'diet']"
213,"['diamond', 'drivers', 'stealth', 'speedstar', 'video', 'cards', 'card', 'dougsunswsuiucedu', 'cica', 'propriety']"
214,"['media', 'publications', 'spiking', 'digging', 'ommitted', 'contributer', 'id314159', 'offices', 'person', 'mossad']"
