,Representation,Count
33,"['postema', 'moderated', 'posts', 'posting', 'post', 'irony', 'sarcasm', 'sarcastic', 'humour', 'his']",75
34,"['radios', 'radio', 'interference', 'ham', 'transmitting', 'fcc', 'rf', 'reception', 'hams', 'antenna']",75
35,"['analgesics', 'antihistamine', 'antihistamines', 'migraine', 'migraines', 'headache', 'treatment', 'fda', 'pains', 'rhinitis']",74
36,"['homosexuality', 'leviticus', 'homosexual', 'homosexuals', 'sodom', 'sodomites', 'heterosexual', 'sin', 'scripture', 'biblical']",73
37,"['modem', 'modems', 'faxes', 'faxmodem', 'fax', '9600', 'att', 'cable', 'crosstalk', 'phone']",73
38,"['windows', 'ram', 'memory', 'dos', 'win31', 'swap', 'emm386exe', 'disk', 'programs', 'bh10001000b']",68
39,"['spacecraft', 'probe', 'voyager', 'saturn', 'orbiter', 'probes', 'galileo', 'magellan', 'jupiter', 'planetary']",66
40,"['cds', 'cd', 'sale', 'album', 'playboy', 'vinyl', 'shipping', 'price', 'postage', 'discs']",65
41,"['testament', 'scripture', 'scriptures', 'psalms', 'bible', 'theological', 'judas', 'apocrypha', 'verse', 'writings']",60
42,"['ttfonts', 'fonts', 'font', 'ttf', 'fontmonger', 'tt', 'glyphs', 'truetype', 'type1', 'type']",59
43,"['taxation', 'taxes', 'tax', 'vat', 'federal', 'deficits', 'income', 'revenue', 'deficit', 'socialism']",59
44,"['nasa', 'spacecraft', 'astronomy', 'astronomical', 'astronaut', 'shuttle', 'voyager', 'solar', 'missions', 'space']",58
45,"['voucher', 'vouchers', 'airfare', 'airfares', 'tickets', 'gift', 'hotelco', 'hotel', 'hotels', 'vegas']",57
46,"['clinton', 'investigation', 'conspiracy', 'congressional', 'enforcement', 'fbi', 'president', 'reno', 'responsibility', 'janet']",56
47,"['koresh', 'koreshs', 'murder', 'survivors', 'evidence', 'killed', 'innocent', 'fbi', 'dead', 'media']",56
48,"['3d', '3ds', 'graphics', 'cad', 'visuallib', 'drawing', 'visualization', '3dstudio', 'rendering', 'stratavision']",54
49,"['drivers', 'driver', 'cica', 'vga', 'vl24', 'winmarks', 'card', 'winbn311', 'gd5426', 'xga2']",53
50,"['nasa', 'budget', 'redesign', 'spaceflight', 'space', 'funding', 'station', 'costs', 'spent', 'cost']",52
51,"['billboards', 'astronomers', 'sky', 'billboard', 'astronomy', 'nasa', 'skies', 'advertisements', 'moon', 'earth']",51
52,"['batf', 'assault', 'waco', 'warrant', 'warrants', 'fbibatf', 'officers', 'shooting', 'arrest', 'firearms']",51
53,"['nicknames', 'gilligan', 'nickname', 'names', 'smileys', 'kuiper', 'smiley', 'fuhrer', 'sloth', 'sam']",49
54,"['armenians', 'armenian', 'azerbaijanis', 'azerbaijani', 'armenia', 'azerbaijan', 'baku', 'azeri', 'azeris', 'karabakh']",48
55,"['ram', 'amiga', 'mb', '2400', 'mhz', 'pc', 'sale', 'disk', 'cpu', '30000']",48
56,"['copies', 'backup', 'piracy', 'norton', 'diskcopy', 'backups', 'pirating', 'copy', 'copying', 'software']",48
57,"['candidiasis', 'fungal', 'candida', 'infections', 'yeast', 'antifungals', 'infection', 'antibiotic', 'gonorrhea', 'fungus']",48
58,"['radar', 'detectors', 'detector', 'detecting', 'detect', 'receivers', 'traffic', 'police', 'illegal', 'driving']",47
59,"['scientific', 'scientists', 'science', 'studies', 'methodology', 'psychology', 'experiments', 'theories', 'cognitivists', 'hypotheses']",46
60,"['hst', 'hsts', 'shuttle', 'nasa', 'orbiter', 'cargo', 'spacewalks', 'orbit', 'reboost', 'smt']",46
61,"['deleted', 'deletion', 'stuff', 'posting', 'thread', 'replied', 'pathetic', 'c5j0tk52blazecsjhuedu', 'redirected', 'apologies']",46
62,"['mouse', 'mousesys', 'mousecom', 'mice', 'cursor', 'logitech', 'jumpiness', 'drivers', 'driver', 'jump']",44
63,"['moonbase', 'moon', 'lunar', 'apollo', 'expensive', 'cost', 'investment', 'money', 'billion', 'luna']",44
64,"['polishing', 'wax', 'waxing', 'clearcoat', 'waxes', 'paint', 'scratches', 'waxed', 'coating', 'polished']",44
65,"['scsi', 'scsi2', 'scsi1', 'throughput', '20mbs', '5mbs', 'speeds', '812mbs', '40mbs', '46mbs']",44
66,"['mary', 'immaculate', 'marys', 'conception', 'catholic', 'bernadette', 'lourdes', 'eve', 'virgin', 'maria']",43
67,"['militia', 'amendment', 'constitution', 'amendments', 'liberties', 'armed', 'constitutional', 'rights', 'federalist', 'regulated']",42
68,"['drugs', 'drug', 'heroin', 'marijuana', 'cocaine', 'addiction', 'addicts', 'dea', 'tobacco', 'legalization']",42
69,"['afterlife', 'hades', 'eternity', 'hell', 'heaven', 'judgment', 'eternal', 'christianity', 'christians', 'sin']",42
70,"['books', 'manuscripts', 'paperback', 'book', 'antiquities', 'library', 'author', 'reader', 'published', 'copies']",41
71,"['greeks', 'turks', 'anatolia', 'greek', 'turkiye', 'greece', 'turkish', 'macedonians', 'cypriots', 'istanbul']",41
72,"['batteries', 'battery', 'charging', 'discharging', 'electrolyte', 'charge', 'exothermic', 'charged', 'charger', 'concrete']",41
73,"['motherboard', 'motherboards', 'ram', 'cpu', 'intel', 'bios', 'chipset', 'sram', 'pc', '4700']",41
74,"['kuwait', 'kuwaitis', 'kuwaiti', 'kuwaits', 'iraqi', 'gulf', 'hussein', 'iraq', 'saudi', 'iraqis']",40
75,"['toyota', 'mazda', 'camry', 'porsche', 'vehicle', 'car', 'corolla', 'price', 'chevy', 'cassette']",40
76,"['mormon', 'mormonism', 'mormons', 'lds', 'brigham', 'joseph', 'jehovah', 'smith', 'apostle', 'messiah']",40
77,"['shifter', 'transmissions', 'transmission', 'gearbox', 'shifting', 'gears', 'automatics', 'autos', 'clutches', 'auto']",39
78,"['uv', 'flashlight', 'fluorescent', 'bulb', 'bulbs', 'lamp', 'leds', 'led', 'glow', 'light']",38
79,"['astrophysics', 'extragalactic', 'galactic', 'comets', 'gravisphere', 'gammas', 'gamma', 'bursts', 'cosmological', 'stars']",37
80,"['dog', 'dogs', 'animal', 'chasing', 'cow', 'attacks', 'riding', 'fence', 'impact', 'kill']",37
81,"['libertarian', 'libertarianism', 'libertarians', 'regulation', 'regulate', 'government', 'amendment', 'regulators', 'totalitarian', 'regulations']",37
82,"['tape', 'tapes', 'backup', 'copy', 'backups', 'vcr', 'dos', 'mirror', 'format', 'cdrom']",37
83,"['executions', 'murder', 'murderer', 'punishment', 'killing', 'punish', 'crimes', 'imprisonment', 'executed', 'crime']",37
84,"['ezekiel', 'lucifer', 'satan', 'biblical', 'satanic', 'devil', 'interpretation', 'evil', 'enoch', 'bible']",37
85,"['diesel', 'diesels', 'emissions', 'ecodiesel', 'gasoline', 'fuel', 'combustion', 'engines', 'cleaners', 'cleaner']",36
86,"['insurance', 'insurers', 'malpractice', 'costs', 'hospitals', 'hospital', 'coverage', 'quebec', 'fees', 'copayments']",36
87,"['pollution', 'epa', 'warming', 'fuels', 'climate', 'environmental', 'disasters', 'conservation', 'co2', 'meteorology']",36
88,"['resets', 'clock', 'bios', 'wake', 'rebooting', 'reset', 'corrupted', 'ram', 'cmos', 'nonselfrefreshing']",35
89,"['insurance', 'insured', 'insure', 'coverage', 'damages', 'policy', 'car', 'deductible', 'accident', 'ticket']",35
90,"['heatsinkfan', 'cooling', 'heatsink', 'fancard', 'cpu', 'fan', 'motherboard', 'cooler', 'vents', 'temperature']",34
91,"['hackers', 'hacker', 'programmer', 'computer', 'thief', 'programming', 'computing', 'technology', 'industry', 'innovative']",33
92,"['kirillian', 'krillean', 'kirlian', 'kirilian', 'krill', 'photographs', 'photographic', 'photography', 'electrophotography', 'krilian']",33
93,"['appeals', 'trial', 'courts', 'verdicts', 'court', 'witnesses', 'verdict', 'judge', 'jury', 'plaintiffs']",33
94,"['shaftdrive', 'wheel', 'wheelie', 'wheelies', 'shafties', 'shaftie', 'shaft', 'motorcycle', 'wheelspin', 'wheels']",33
95,"['ftp', 'files', 'file', 'unix', 'zip', 'shareware', 'freeware', 'archives', 'download', 'payware']",33
96,"['pb100', 'powerbook', 'computer', 'keyboard', 'intel', 'device', 'mac', 'plcc', 'sony', 'board']",32
97,"['motorcycle', 'bikes', 'riding', 'countersteering', 'bike', 'steering', 'bicycle', 'gyroscopic', 'rider', 'riders']",32
98,"['motif', 'motifrequestcvruunl', 'motiflike', 'motifapi', 'bindings', 'widgets', 'ptmxactdemoncouk', 'uimx', 'devilimphellnetorg', 'widget']",31
99,"['marriages', 'wedding', 'vows', 'marriage', 'marrying', 'marry', 'ceremony', 'couples', 'married', 'couple']",31
100,"['harddrive', 'seagate', 'drives', 'disk', 'hd', '12gb', 'fujitsu', 'mb', 'drive', '128mb']",30
101,"['ghostscript', 'ghostview', 'postscript', 'pageview', 'previewer', 'preview', 'file', 'gs252winzip', 'files', 'pages']",30
102,"['monitor', 'monitors', 'computer', 'electricity', 'computers', 'consumption', 'power', 'idle', 'powerpc', 'powersaving']",29
103,"['modems', 'modem', 'rs232', 'serial', 'cable', 'cables', 'uart', 'telix', 'ports', 'laplink']",29
104,"['m9l0qaxaxaxaxaxaxaxaxaxaxaxaxaxax', 'mi68qaxaxaxaxaxaxaxaxaxaxaxaxaxax', '8l', 'mwtev8axaxaxaxaxaxaxaxaxaxaxax', 'mqaxaxaxaxaxaxaxaxaxaxaxaxaxax', 'mg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9vg9v', 'mi0o8axaxaxaxaxaxaxaxaxaxaxaxax', 'mi0mfq0qaxaxaxaxaxaxaxaxaxaxaxaxax', 'mi0mfqaxaxaxaxaxaxaxaxaxaxaxaxax', 'm8']",28
105,"['cryptology', 'cryptanalyst', 'cryptographic', 'cryptanalysis', 'cryptography', 'crypto', 'cryptologia', 'cryptosystems', 'cryptosystem', 'ciphers']",28
106,"['archive', 'faq', 'resource', 'file', 'graphics', 'files', 'information', 'site', 'version', 'contact']",28
107,"['comics', 'marvel', 'comic', 'spiderman', 'avengers', 'wolverine', 'superman', 'batman', 'hulk', '200']",28
108,"['irq3', 'irq2', 'irq4', 'irqs', 'irq5', 'irq', 'irq7', 'irq9', 'modem', 'irq815']",27
109,"['antidepressants', 'antidepressant', 'prozac', 'depression', 'medications', 'zoloft', 'serotonin', 'medication', 'depressed', 'psychiatrist']",27
110,"['mailing', 'usenet', 'mail', 'internet', 'email', 'net', 'advertising', 'envelope', 'reader', 'ads']",27
111,"['abortion', 'abortions', 'fetus', 'pregnancy', 'maternity', 'sexism', 'sexist', 'pregnant', 'consent', 'rape']",27
112,"['firearm', 'nra', 'firearms', 'handgun', 'guns', 'rifle', 'gun', 'ammunition', 'amendments', 'handguns']",27
113,"['mhz', '25mhz', 'q700', '20mhz', '33mhz', 'clock', 'speeds', 'speed', 'cpu', 'motherboard']",26
114,"['ranking', 'polysyllabic', 'adjective', 'type', 'important', 'kind', 'keywords', 'particular', 'wood', 'uckers']",26
115,"['locks', 'locking', 'lock', 'padlock', 'locked', 'motorcycle', 'securing', 'cobralinks', 'altlocksmithing', 'kryptonite']",25
116,"['helmets', 'helmet', 'impact', 'fiberglass', 'chinbar', 'motorcycle', 'bike', 'foam', 'cb', 'head']",25
117,"['images', 'geosphere', 'maps', 'image', 'imaging', 'graphics', 'files', 'map', 'file', 'data']",25
118,"['baptism', 'infants', 'infant', 'baptized', 'newborn', 'faith', 'babies', 'circumcision', 'gospel', 'birth']",25
119,"['dos6doubledisk', 'dos', 'dos6', 'ntfs', 'floppy', 'dos60', 'disk', 'disks', 'doubledisk', 'defrag']",25
120,"['jpeg', 'jpegs', 'pixels', 'images', 'compression', 'formats', 'pixel', 'coding', 'files', 'compress']",25
121,"['midi', 'midimapper', 'soundblaster', 'soundexe', 'audio', 'mpeg', 'drivers', 'multimedia', 'music', 'sound']",24
122,"['briefing', 'stephanopoulos', 'secretary', 'president', 'senate', 'senator', 'meeting', 'presidents', 'congress', 'myers']",24
123,"['vocoder', 'compression', 'audio', 'compressed', 'voice', 'audiofd', 'soundblaster', 'modems', 'tcpip', 'coder']",24
124,"['xv', 'xv300', 'xgif', 'copyright', 'licenses', 'copies', 'shareware', 'donations', 'donation', 'freeware']",24
125,"['scripture', 'beliefs', 'belief', 'bible', 'faith', 'absolute', 'truths', 'absolutes', 'evangelical', 'christians']",24
126,"['dealerships', 'dealership', 'dealers', 'dealer', 'sales', 'profit', 'cost', 'buyers', 'prices', 'incentives']",23
127,"['drawindex', 'draw', 'hardwarecolorpixel', 'colorpixel', 'defcolormap', 'colormap', 'xcolor', 'drawing', 'xinstallcolormapdpycmap', 'drawable']",23
128,"['vga', 'vram', 'card', 'v9000', 'motherboardim', 'performance', 'cards', 'benchmark', 'chipset', 'ati']",23
129,"['papal', 'papacy', 'pope', 'popes', 'catholics', 'schismatic', 'schism', 'bishops', 'catholic', 'vatican']",23
130,"['resurrection', 'tomb', 'grave', 'messiah', 'testament', 'buried', 'disciples', 'crucification', 'biblical', 'lazarus']",22
131,"['oscilloscope', 'scopemeters', 'scopes', 'oscilliscopes', 'oscilliscope', 'scope', 'probes', 'instrument', 'mhz', 'hp180']",22
132,"['scanner', 'scanning', 'scanners', 'scan', 'scans', 'scanningediting', 'scanman', 'scanmate', 'logitech', 'handscanners']",22
133,"['dx50', 'dx250', '50dx', 'dx2', 'motherboards', 'motherboard', 'mhz', '50mhz', 'dx266', 'dx']",22
134,"['silently', 'silence', 'prayers', 'silent', 'prayer', 'religious', 'church', 'students', 'religions', 'religion']",22
135,"['telephone', 'dial', 'caller', 'call', 'telco', 'calls', '900number', 'phone', '9988776655', 'number']",22
136,"['vga', '640x480x32k', '640x480x16', '640x480', 'pixels', 'graphics', 'pixel', '800x600', 'videomode', 'svga']",22
137,"['nubus', 'pds', 'card', 'adapter', 'cards', 'lciii', 'powerpc', 'maccon', 'lclc', 'iisi']",22
138,"['benchmarked', 'benchmark', 'performance', 'winbench', 'winmark', 'winmarks', 'wintach', '3dbench', 'rating', 'vlb']",22
139,"['blacks', 'racial', 'crimes', 'incarceration', 'crime', 'whites', 'demographics', 'race', 'minority', 'slavery']",21
140,"['oversampling', 'rms', 'interpolation', 'analog', 'khz', 'sampling', 'analogdigital', 'digital', 'distorted', 'frequencies']",20
141,"['refund', 'shipping', 'ups', 'mailed', 'seller', 'backorder', 'mail', 'package', 'charges', 'payment']",20
142,"['gallstones', 'stones', 'stone', 'calcium', 'kidney', 'hyperoxaluria', 'urinary', 'minerals', 'supplements', 'calciumoxalate']",20
143,"['monitor', 'monitors', 'rgb', 'screen', 'display', 'interference', 'vram', 'pixels', 'colors', 'brightness']",20
144,"['nikon', 'lens', 'lenses', 'camera', 'canon', 'shutter', 'minolta', 'olympus', 'accessories', '35mm']",19
145,"['dialing', 'telephone', 'dialling', 'tones', 'phones', 'phone', 'sweden', 'touchtone', 'europe', 'swedish']",19
146,"['oilfill', 'oil', 'drain', 'lubricate', 'dipstick', 'draining', 'wrench', 'draing', 'engine', 'drill']",19
147,"['contraceptive', 'sperm', 'pregnancy', 'ovule', 'implantation', 'intercourse', 'vagina', 'morbidity', 'pill', 'circumcision']",19
148,"['retinal', 'eyeexercises', 'retinas', 'retina', 'sighted', 'corneal', 'glasses', 'vision', 'eye', 'myopia']",19
149,"['softwares', 'microsoft', 'software', 'sale', 'price', 'items', 'graphics', 'disks', 'programs', 'publisher']",19
150,"['databases', 'microsofts', 'database', 'microsoft', 'software', 'sql', 'codebase', 'programs', 'odbc', 'sharewarefreeware']",19
151,"['universityness', 'universities', 'university', 'uc', 'professors', 'students', 'univeristy', 'alumni', 'collegestudent', 'student']",19
152,"['boilers', 'turbines', 'boiler', 'turbine', 'boilingwater', 'reactors', 'cooling', 'condensers', 'thermal', 'reactor']",18
153,"['cite', 'article', 'nonfiction', 'autobiography', 'source', 'quoting', 'book', 'standards', 'topic', 'mit']",18
154,"['diet', 'dieting', 'obesity', 'adiposity', 'metabolic', 'metabolism', 'fat', 'dietary', 'exercise', 'dieters']",18
155,"['revolver', 'revolvers', 'glocks', 'glock', 'guns', 'gun', 'colt', 'm16', 'weapon', 'recguns']",18
156,"['crashes', 'crash', 'motherboard', 'ram', 'crashed', 'bios', 'memory', 'errors', 'freezes', 'simms']",18
157,"['scripture', 'bible', 'reading', 'christians', 'christian', 'faith', 'books', 'book', 'church', 'teachings']",18
158,"['chemistry', 'handbook', 'books', 'paperback', 'book', 'fortran', 'principles', 'guide', 'manual', 'applications']",18
159,"['tempestshielding', 'tempest', 'tempestrated', 'tempestshield', 'surveillance', 'monitor', 'monitors', 'transceivers', 'electromagnetic', 'lcd']",17
160,"['jacket', 'suits', 'suit', 'clothing', 'aero', 'dressed', 'jackets', 'wearing', 'wear', 'pants']",17
161,"['ms', 'microsoft', 'microsoftie', 'msdos', 'os', 'innovate', 'technological', 'ibm', 'marketing', 'innovated']",17
162,"['easter', 'pagan', 'paganism', 'feast', 'celebrating', 'celebration', 'worshipping', 'festival', 'celebrate', 'worship']",17
163,"['furnishings', 'sofa', 'sale', 'cushions', 'dresser', 'desk', 'tablesdresser', 'tables', 'drawer', 'chairs']",17
164,"['commandments', 'pharisees', 'christians', 'bible', 'christian', 'faith', 'israelites', 'sin', 'sabbath', 'jewish']",17
165,"['xkeyevent', 'xkeyreleasedevent', 'keycode', 'keymap', 'keymapfile', 'xmodmap', 'keypress', 'keypresses', 'definekeys', 'definekey']",16
166,"['newspaper', 'newspapers', 'article', 'journalist', 'news', 'magazine', 'enquirer', 'readers', 'copyright', 'reader']",16
167,"['powerpcs', 'processors', 'processor', 'powerpc', 'cpus', 'powerpcbased', 'powerpconaboard', 'macs', 'pentium', 'cpu']",16
168,"['xcreatecolormap', 'xterncolorinfo', 'xmugetcolormapallocation', 'colourmap', 'colormap', 'colormaps', 'cwcolormap', 'xalloccolor', 'directcolor', 'truecolor']",16
169,"['disks', 'harddisks', 'ibm', 'disk', 'seagates', 'floppy', 'drives', 'storage', 'cds', 'floppies']",16
170,"['hypocritical', 'hypocrite', 'criticize', 'quotes', 'context', 'argument', 'contradicting', 'assertion', 'quote', 'narrative']",16
171,"['odometer', 'odometers', 'speedometer', 'mileage', 'meter', 'sensor', 'mph', 'speed', 'mile', 'miles']",16
172,"['sinners', 'sinner', 'hatred', 'sins', 'sin', 'hating', 'hate', 'sinnerive', 'christianity', 'loving']",16
173,"['isa', 'ide', '5mbsec', 'throughput', 'ram', 'bus', 'dma', 'specs', 'busmastering', 'mbs']",15
174,"['morality', 'freedom', 'aclu', 'prohibiting', 'offensive', 'bigotry', 'racism', 'kkks', 'amendment', 'violence']",15
175,"['quayle', 'duke', 'populist', 'clinton', 'reagan', 'dukes', 'jfk', 'gritz', 'gore', 'president']",15
176,"['christianity', 'christians', 'christian', 'agnosticism', 'faith', 'bible', 'jesus', 'christ', 'resurrection', 'god']",15
177,"['stereo', 'soundbase0x170', 'soundbase', 'speakers', 'outputs', 'sound', 'decoders', 'soundtool', 'speaker', 'decoder']",15
178,"['cview', 'files', 'tmp', 'file', 'diskimage', 'disk', 'directory', 'cdroms', 'batch', 'vlb']",15
179,"['6507s', '2600', '68070', '680x0', '6502', '68000', '68060', '6507', '68030', '68010']",15
180,"['wasps', 'millipedes', 'wasp', 'pests', 'stings', 'centipedes', 'buggers', 'millipede', 'venomous', 'chiggers']",14
181,"['ditto', 'woof', 'great', 'here', 'too', 'me', 'for', '', '', '']",14
182,"['koresh', 'koreshs', 'christians', 'messiah', 'christian', 'david', 'sermon', 'revelation', 'cult', 'demonized']",14
183,"['tongues', 'pentecostal', 'pentecostals', 'speak', 'neopentecostals', 'tongue', 'languages', 'tounges', 'denomination', 'language']",14
184,"['needles', 'syringes', 'needle', 'syringe', 'needlesused', 'acupuncture', 'acupuncturists', 'acupuncturist', 'acupuncturistnot', 'needlesuse']",14
185,"['recognition', 'algorithms', 'imaging', 'inputimage', 'processing', 'vision', 'image', 'magnitudeimage', 'edges', 'dicta93']",14
186,"['grounded', 'grounding', 'ground', 'outlets', 'grounds', 'wiring', 'outlet', 'electrical', 'wires', 'neutral']",14
187,"['balls', 'airplanes', 'lines', 'magnets', 'poles', 'aircraft', 'flexible', 'envelopes', 'electric', 'strung']",14
188,"['sabbath', 'commandments', 'scripture', 'sunday', 'commandment', 'worship', 'ceremonial', 'church', 'churches', 'saturday']",14
189,"['ncsl', 'csrcncslnistgov', 'nist', 'anonymous', 'expn', 'anonymously', 'clipper', 'privacy', 'usenet', 'security']",13
190,"['test', 'tests', 'testing', 'testtaking', 'exams', 'testno', 'research', 'answers', 'question', 'gre']",13
191,"['c610', 'wc610s', 'c650', '610s', 'centris', '610', 'hardware', '650s', '040s', 'upgrade']",13
192,"['pixmaps', 'pixmap', 'memory', 'xputimage', 'ximages', 'x11r5', 'ximage', 'graphicdisplay', 'xswabackgroundpixel', 'xinfodisplay']",13
193,"['42', 'universe', 'fortytwo', 'fifty', 'life', 'discovered', 'number', 'anagram', 'binary', 'lifespans']",13
194,"['software', 'softwaredevelopment', 'shuttle', 'failures', 'nasa', 'challenger', 'engineering', 'tools', 'rating', 'levels']",13
195,"['rights', 'freedom', 'slaves', 'slave', 'laws', 'debate', 'rightsbearing', 'coercion', 'agreement', 'conflict']",13
196,"['mac', 'macs', 'superdrive', 'disk', 'superdrives', 'disks', 'macsee', 'macseezip', 'hd', 'floppy']",13
197,"['indicators', 'indicator', 'bmw', 'reseting', 'bmws', 'reset', 'service', 'oilrelated', 'oil', 'miles']",12
198,"['meter', 'multimeter', 'meters', 'milliamp', '8060a', 'barometer', 'testleadisinthewrongscocket', 'deadbutnotthemeterdead', 'measuring', 'current']",12
199,"['trinity', 'theology', 'nestorianism', 'trinitarianism', 'deityeternality', 'biblical', 'trinitarian', 'deity', 'gods', 'nestorius']",12
200,"['harddisk', 'hdd', 'disk', 'norton', 'sectors', 'wscan104exe', 'crash', 'smartdrv', 'errors', 'tarid31015']",12
201,"['clinton', 'nsa', 'privacy', 'democrats', 'bush', 'bill', 'president', 'republicans', 'clipper', 'chip']",12
202,"['crohns', 'colitis', 'intestinal', 'dietary', 'colonic', 'inflammation', 'colonics', 'colon', 'inflammatory', 'digestive']",12
203,"['tires', 'tire', 'wheels', 'wheel', 'michelin', 'slick50', 'trx', 'rotors', 'brands', 'rear']",12
204,"['rosicrucianum', 'rosicrucian', 'rosicrucians', 'masonic', 'sectarian', 'groups', 'members', 'latin', 'lectorium', 'orders']",12
205,"['psychic', 'leo', 'passed', 'future', 'days', 'wait', 'april', 'crossed', 'ahmed', 'mail']",12
206,"['hypoglycemic', 'glycemic', 'glucose', 'hypothalamus', 'bloodcount', 'neurohypophysis', 'serum', 'deficiency', 'adrenal', 'serumplasma']",12
207,"['scicrypt', 'encrypt', 'encryption', 'crypt', 'decrypt', 'cryptography', 'cipher', 'plainfiles', 'unix', 'floppy']",12
208,"['inflatable', 'balloon', 'balloons', 'inflated', 'deflated', 'explode', 'nonflameble', 'deflating', 'inflation', 'pressurized']",12
209,"['bandwidth', 'tcpip', 'performance', 'ethernets', 'ethernet', 'winx', 'xclocks', 'network', 'slowdowns', 'dvx']",12
210,"['bronx', 'queens', 'manhattan', 'ny', 'nyc', 'sank', 'hopes', 'city', 'hell', 'garden']",11
211,"['nuclear', 'plutonium', 'reactor', 'reactors', 'nuke', 'fission', 'uranium', 'bomb', 'bombs', 'fissionable']",11
212,"['handset', 'linemonitoring', 'telephone', 'ringer', 'wire', 'hookoff', 'wires', 'ring', 'voltmeter', 'hook']",11
213,"['alarms', 'alarm', 'alarmed', 'sensor', 'detector', 'radar', 'trigger', 'viper', 'warning', 'signal']",11
214,"['processor', 'benchmarks', 'cpu', 'performance', 'i486sx', 'mhz', 'i486dx', 'intel', 'speed', '646700']",11
